month,bridgeId,bridgeName,depositUSD,withdrawUSD,totalUSD,netUSD
2022-10,1,Polygon PoS Bridge,120067731.03939162,385912244.8541683,505979975.8935599,-265844513.81477666
2022-11,1,Polygon PoS Bridge,315948961.68095183,366385239.0905217,682334200.7714735,-50436277.40956987
2022-12,1,Polygon PoS Bridge,275547824.8080078,213609689.71057934,489157514.5185871,61938135.09742847
2023-01,1,Polygon PoS Bridge,218503005.99350843,171017658.04290667,389520664.0364151,47485347.950601764
2023-02,1,Polygon PoS Bridge,312754370.2374987,294570755.6105806,607325125.8480793,18183614.62691809
2023-03,1,Polygon PoS Bridge,316468077.4648163,539848921.0780643,856316998.5428807,-223380843.6132481
2023-04,1,Polygon PoS Bridge,380837589.94783676,383369036.13465595,764206626.0824927,-2531446.186819182
2023-05,1,Polygon PoS Bridge,2086909381.9413908,2100460548.1688347,4187369930.1102257,-13551166.227443986
2023-06,1,Polygon PoS Bridge,416935251.1261745,482881482.92898095,899816734.0551554,-65946231.80280641
2023-07,1,Polygon PoS Bridge,276397722.5307665,394740517.2450906,671138239.7758571,-118342794.71432413
2023-08,1,Polygon PoS Bridge,337529322.3341429,413034072.9891721,750563395.323315,-75504750.65502921
2023-09,1,Polygon PoS Bridge,200526716.6537923,156175833.38610196,356702550.0398943,44350883.26769033
2023-10,1,Polygon PoS Bridge,242874482.59350327,344382525.9439323,587257008.5374355,-101508043.35042901
2023-11,1,Polygon PoS Bridge,285395186.4280769,334448460.8874287,619843647.3155056,-49053274.45935174
2023-12,1,Polygon PoS Bridge,322760960.98554045,303827985.6895555,626588946.6750959,18932975.295984946
2024-01,1,Polygon PoS Bridge,340408468.86970484,288549923.42466855,628958392.2943734,51858545.44503625
2024-02,1,Polygon PoS Bridge,436072450.0214667,287612717.65035117,723685167.6718179,148459732.3711155
2024-03,1,Polygon PoS Bridge,311298781.54154885,294921383.9793263,606220165.5208752,16377397.562222559
2024-04,1,Polygon PoS Bridge,298319669.7825928,244731712.2463488,543051382.0289415,53587957.53624395
2024-05,1,Polygon PoS Bridge,218991017.29275313,207433087.7632217,426424105.05597484,11557929.529531397
2024-06,1,Polygon PoS Bridge,197395732.00610232,160217463.40235808,357613195.40846044,37178268.603744246
2024-07,1,Polygon PoS Bridge,230143446.16689003,152794306.77289358,382937752.9397836,77349139.39399648
2024-08,1,Polygon PoS Bridge,184919954.39966303,149511199.85299844,334431154.25266147,35408754.5466646
2024-09,1,Polygon PoS Bridge,174392280.381829,231003901.98373738,405396182.3655664,-56611621.60190841
2024-10,1,Polygon PoS Bridge,375140379.5501807,321594366.29560024,696734745.845781,53546013.25458044
2024-11,1,Polygon PoS Bridge,417288695.54044765,776740686.2006642,1194029381.7411118,-359451990.6602165
2024-12,1,Polygon PoS Bridge,254192266.70082507,320317835.8242436,574510102.5250686,-66125569.12341854
2025-01,1,Polygon PoS Bridge,300950969.94827735,182767044.78487647,483718014.7331538,118183925.16340087
2025-02,1,Polygon PoS Bridge,242473175.23179775,155943486.92843026,398416662.160228,86529688.30336748
2025-03,1,Polygon PoS Bridge,182742303.33766648,301557328.79328895,484299632.13095546,-118815025.45562245
2025-04,1,Polygon PoS Bridge,295164950.0363541,382572525.99044174,677737476.0267959,-87407575.95408762
2025-05,1,Polygon PoS Bridge,564637461.4306818,453826193.4271879,1018463654.8578697,110811268.0034939
2025-06,1,Polygon PoS Bridge,654169647.4332528,391987153.025868,1046156800.4591208,262182494.4073848
2025-07,1,Polygon PoS Bridge,770465751.7396421,600975656.2410117,1371441407.980654,169490095.49863043
2025-08,1,Polygon PoS Bridge,457858236.2011611,345209800.918244,803068037.1194052,112648435.28291705
2025-09,1,Polygon PoS Bridge,166224846.1695225,175122987.20852035,341347833.3780428,-8898141.038997859
2022-10,2,Arbitrum Bridge,77384857.01968145,118885746.1214618,196270603.14114323,-41500889.10178035
2022-11,2,Arbitrum Bridge,321931644.5194589,239215017.0282895,561146661.5477483,82716627.4911694
2022-12,2,Arbitrum Bridge,254453303.75459448,351371338.3908935,605824642.145488,-96918034.63629906
2023-01,2,Arbitrum Bridge,230910331.04433653,142697301.72758704,373607632.7719236,88213029.31674947
2023-02,2,Arbitrum Bridge,1236237198.978892,106832287.894114,1343069486.873006,1129404911.084778
2023-03,2,Arbitrum Bridge,1013242763.0038788,698310203.5139232,1711552966.517802,314932559.4899558
2023-04,2,Arbitrum Bridge,665227494.5661311,466555435.68311965,1131782930.2492507,198672058.8830114
2023-05,2,Arbitrum Bridge,544774124.4622983,683973587.6217502,1228747712.0840485,-139199463.159452
2023-06,2,Arbitrum Bridge,574117249.188699,474425957.6154942,1048543206.8041933,99691291.57320482
2023-07,2,Arbitrum Bridge,497747415.637963,484939882.84235847,982687298.4803215,12807532.79560453
2023-08,2,Arbitrum Bridge,549370332.5094477,594672889.3327031,1144043221.8421507,-45302556.823255405
2023-09,2,Arbitrum Bridge,559460823.0628759,371296199.60330254,930757022.6661783,188164623.4595734
2023-10,2,Arbitrum Bridge,563945015.3611528,413234477.80361044,977179493.1647632,150710537.5575423
2023-11,2,Arbitrum Bridge,915118153.9247406,637195042.9865377,1552313196.9112782,277923110.9382028
2023-12,2,Arbitrum Bridge,742372563.579303,453845389.6449676,1196217953.2242706,288527173.93433535
2024-01,2,Arbitrum Bridge,936114345.4519631,466907671.83684707,1403022017.28881,469206673.615116
