month;bridgeId;bridgeName;totalUSD;SA_Tier
2022-10;1;Polygon PoS Bridge;505979975,9;SA22
2022-10;2;Arbitrum Bridge;196270603,1;SA33
2022-10;4;Optimism Gateway;183324834,5;SA33
2022-10;3;Avalanche Bridge;151572476,2;SA12
2022-10;11;Synapse;71024935,54;SA22
2022-10;10;Celer cBridge;70025425,78;SA22
2022-10;13;Hop;44143922,91;SA33
2022-11;12;Stargate;1082538949;SA22
2022-11;1;Polygon PoS Bridge;682334200,8;SA22
2022-11;10;Celer cBridge;651663525,9;SA22
2022-11;2;Arbitrum Bridge;561146661,5;SA33
2022-11;4;Optimism Gateway;476329809,6;SA33
2022-11;11;Synapse;412902341,7;SA22
2022-11;19;Across;396918923;SA33
2022-11;3;Avalanche Bridge;363565255,1;SA12
2022-11;13;Hop;245679191;SA33
2022-11;18;Rainbow Bridge;84151170,73;SA31
2022-11;16;Gnosis Bridge;68905509,93;SA22
2022-11;17;Axelar;2110014,585;SA21
2022-11;22;Allbridge Classic;684033,9922;SA22
2022-12;10;Celer cBridge;1150310401;SA22
2022-12;12;Stargate;785588172,3;SA22
2022-12;2;Arbitrum Bridge;605824642,1;SA33
2022-12;1;Polygon PoS Bridge;489157514,5;SA22
2022-12;11;Synapse;279163089,8;SA22
2022-12;4;Optimism Gateway;237238456,5;SA33
2022-12;19;Across;180727185,7;SA33
2022-12;13;Hop;178485671,2;SA33
2022-12;3;Avalanche Bridge;155352260,9;SA12
2022-12;18;Rainbow Bridge;51485610,56;SA31
2022-12;16;Gnosis Bridge;26319072,12;SA22
2022-12;22;Allbridge Classic;4093228,991;SA22
2023-01;10;Celer cBridge;662516390,3;SA22
2023-01;1;Polygon PoS Bridge;389520664;SA22
2023-01;2;Arbitrum Bridge;373607632,8;SA33
2023-01;12;Stargate;319883391,8;SA22
2023-01;11;Synapse;267212971,1;SA22
2023-01;4;Optimism Gateway;202569209,3;SA33
2023-01;3;Avalanche Bridge;173504186,3;SA12
2023-01;13;Hop;118697239,5;SA33
2023-01;19;Across;96033271,26;SA33
2023-01;18;Rainbow Bridge;19189639,42;SA31
2023-01;16;Gnosis Bridge;14405852,54;SA22
2023-01;22;Allbridge Classic;4193476,442;SA22
2023-02;2;Arbitrum Bridge;1343069487;SA33
2023-02;10;Celer cBridge;857422796,8;SA22
2023-02;12;Stargate;664297296,1;SA22
2023-02;1;Polygon PoS Bridge;607325125,8;SA22
2023-02;11;Synapse;604232132;SA22
2023-02;4;Optimism Gateway;401470814,7;SA33
2023-02;3;Avalanche Bridge;298454091,7;SA12
2023-02;13;Hop;263549611,5;SA33
2023-02;19;Across;206397664;SA33
2023-02;16;Gnosis Bridge;28370598,76;SA22
2023-02;18;Rainbow Bridge;17726079,56;SA31
