month,bridgeId,bridgeName,totalUSD,netUSD,shares
2022-10,1,Polygon PoS Bridge,505979975.8935599,-265844513.81477666,41.39
2022-10,2,Arbitrum Bridge,196270603.14114323,-41500889.10178035,16.06
2022-10,4,Optimism Gateway,183324834.47180048,36381878.90257707,15.0
2022-10,3,Avalanche Bridge,151572476.19232148,-77883157.47164677,12.4
2022-10,11,Synapse,71024935.5393911,-3362050.054546794,5.81
2022-11,12,Stargate,1082538948.915303,-23044556.545602996,21.53
2022-11,1,Polygon PoS Bridge,682334200.7714735,-50436277.40956987,13.57
2022-11,10,Celer cBridge,651663525.8842952,99606537.60020697,12.96
2022-11,2,Arbitrum Bridge,561146661.5477483,82716627.4911694,11.16
2022-11,4,Optimism Gateway,476329809.59358007,-225116202.55552325,9.47
2022-12,10,Celer cBridge,1150310401.0340142,-83349231.87214877,27.76
2022-12,12,Stargate,785588172.2739238,-11574904.402616218,18.96
2022-12,2,Arbitrum Bridge,605824642.145488,-96918034.63629906,14.62
2022-12,1,Polygon PoS Bridge,489157514.5185871,61938135.09742847,11.8
2022-12,11,Synapse,279163089.84373945,-6560052.255625458,6.74
2023-01,10,Celer cBridge,662516390.2782432,-1401303.6194852572,25.08
2023-01,1,Polygon PoS Bridge,389520664.0364151,47485347.950601764,14.75
2023-01,2,Arbitrum Bridge,373607632.7719236,88213029.31674947,14.14
2023-01,12,Stargate,319883391.7645403,-11057131.065121043,12.11
2023-01,11,Synapse,267212971.1420146,2940127.0589565868,10.12
2023-02,2,Arbitrum Bridge,1343069486.873006,1129404911.084778,25.36
2023-02,10,Celer cBridge,857422796.7792939,-803256.303591392,16.19
2023-02,12,Stargate,664297296.1484927,-25918417.707228694,12.54
2023-02,1,Polygon PoS Bridge,607325125.8480793,18183614.62691809,11.47
2023-02,11,Synapse,604232132.0150863,2282851.4116514307,11.41
2023-03,2,Arbitrum Bridge,1711552966.517802,314932559.4899558,21.38
2023-03,12,Stargate,1709064311.518137,-36227664.656426236,21.35
2023-03,10,Celer cBridge,1041095777.9403332,2977956.0630814107,13.01
2023-03,1,Polygon PoS Bridge,856316998.5428807,-223380843.6132481,10.7
2023-03,11,Synapse,799534953.5141529,-3516745.4948053765,9.99
2023-04,12,Stargate,4487077088.27994,-64292228.19752599,52.01
2023-04,2,Arbitrum Bridge,1131782930.2492507,198672058.8830114,13.12
2023-04,1,Polygon PoS Bridge,764206626.0824927,-2531446.186819182,8.86
2023-04,10,Celer cBridge,758125809.0056146,5667471.960983603,8.79
2023-04,11,Synapse,431671272.73176986,-4567730.139169728,5.0
2023-05,12,Stargate,5209762881.90615,-196352920.83705,42.28
2023-05,1,Polygon PoS Bridge,4187369930.1102257,-13551166.227443986,33.98
2023-05,2,Arbitrum Bridge,1228747712.0840485,-139199463.159452,9.97
2023-05,10,Celer cBridge,617228859.6842805,459673.08049139194,5.01
2023-05,11,Synapse,298824200.4918856,-1319874.815379554,2.43
2023-06,12,Stargate,3899320056.2573204,-236109804.6099268,49.99
