year,bridgeId,bridgeName,depositUSD,withdrawUSD,totalUSD,netUSD
2022,10,Celer cBridge,945228128.1808541,926771224.5174747,1871999352.6983287,18456903.663379453
2022,12,Stargate,916753830.1205037,951373291.068723,1868127121.1892266,-34619460.94821921
2022,1,Polygon PoS Bridge,711564517.5283513,965907173.6552693,1677471691.1836207,-254342656.12691805
2022,2,Arbitrum Bridge,653769805.2937348,709472101.5406448,1363241906.8343797,-55702296.24690999
2022,4,Optimism Gateway,337245626.3261918,559647474.2579556,896893100.5841473,-222401847.93176377
2022,11,Synapse,377603138.0367179,385487229.0629683,763090367.0996861,-7884091.026250416
2022,3,Avalanche Bridge,207622892.44234905,462867099.77716213,670489992.2195112,-255244207.33481312
2022,19,Across,289757386.7206224,287888721.9572885,577646108.6779109,1868664.7633339213
2022,13,Hop,233955096.69977129,234353688.33175308,468308785.03152436,-398591.63198177936
2022,18,Rainbow Bridge,40712638.083777934,94924143.19793034,135636781.28170827,-54211505.11415241
2022,16,Gnosis Bridge,25799954.806362927,69424627.24314281,95224582.04950576,-43624672.436779894
2022,22,Allbridge Classic,2288101.4886557916,2489161.4944422166,4777262.983098009,-201060.00578642514
2022,17,Axelar,1182808.4852521596,927206.0996306108,2110014.5848827707,255602.38562154892
2023,12,Stargate,15930342182.835918,16897377136.346401,32827719319.18232,-967034953.5104823
2023,2,Arbitrum Bridge,8092523465.319718,5527978656.269468,13620502121.589188,2564544809.0502505
2023,1,Polygon PoS Bridge,5397892068.237047,5918757798.105305,11316649866.342352,-520865729.8682566
2023,26,ZKsync Era Bridge,3811216612.585423,3701867123.0911536,7513083735.676577,109349489.49426973
2023,19,Across,2729303713.684526,2712012353.4756875,5441316067.160213,17291360.208838664
2023,10,Celer cBridge,2395899363.98901,2388286965.5266495,4784186329.515659,7612398.462360627
2023,11,Synapse,1855410910.2919855,1871760594.8086247,3727171505.1006103,-16349684.516639302
2023,4,Optimism Gateway,2012739993.923564,1572324590.2576177,3585064584.1811814,440415403.6659461
2023,13,Hop,1310016625.8243392,1264468443.0572057,2574485068.8815446,45548182.7671336
2023,3,Avalanche Bridge,878823687.7085887,1197796266.5608668,2076619954.2694554,-318972578.852278
2023,16,Gnosis Bridge,683185289.3175018,543826688.6602981,1227011977.9778,139358600.65720367
2023,28,Meson,483516379.73797786,483838729.7171393,967355109.4551172,-322349.97916143923
2023,32,Squid (Powered by Axelar),327149279.63952744,487192508.3142179,814341787.9537452,-160043228.67469049
2023,39,rhino.fi,347979741.5447163,309081956.179892,657061697.7246083,38897785.36482431
2023,27,Symbiosis,242209670.79660174,234238069.28896844,476447740.08557016,7971601.507633297
